Variable name,Time in Play,Data Point
Player Position,0:3.00,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:3.00,100
Player Position,0:6.02,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.02,100
Player Position,0:9.05,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.05,100
Player Position,0:10.34,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:10.34,100
