Variable name,Time in Play,Data Point
Player Position,0:3.00,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:3.00,100
Player Position,0:6.02,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.02,100
Player Position,0:9.02,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.02,100
Sonar Pulse Triggered,0:11.19,World Position Trigger Point: (-13.95, -2.22, -66.42)Sonar Pulse: 1
Sonar Scanner Clicked,0:11.29,World Position Trigger Point: (-15.39, -2.43, -66.50)Sonar Scanner: 1
Player Position,0:12.05,World Position: (-15.39, -2.43, -66.50)
PlayerHealth,0:12.05,100
Sonar Pulse Triggered,0:12.59,World Position Trigger Point: (-14.00, -2.22, -66.90)Sonar Pulse: 2
Sonar Scanner Clicked,0:12.68,World Position Trigger Point: (-15.39, -2.43, -66.50)Sonar Scanner: 2
Player Position,0:15.06,World Position: (-14.73, -2.43, -66.50)
PlayerHealth,0:15.06,100
Player Position,0:15.97,World Position: (-14.73, -2.43, -66.50)
PlayerHealth,0:15.97,100
