Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:2.99,100
Player Position,0:6.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:6.00,100
Player Position,0:9.02,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.02,50
Player Position,0:12.03,World Position: (104.60, 0.18, 70.68)
PlayerHealth,0:12.03,50
Sonar Pulse Triggered,0:14.12,World Position Trigger Point: (99.30, 0.39, 66.79)Sonar Pulse: 1
Sonar Scanner Clicked,0:14.17,World Position Trigger Point: (98.28, 0.18, 67.58)Sonar Scanner: 1
Player Position,0:15.05,World Position: (99.82, 0.18, 65.63)
PlayerHealth,0:15.05,50
Sonar Pulse Triggered,0:15.64,World Position Trigger Point: (99.81, 0.39, 62.26)Sonar Pulse: 2
Sonar Scanner Clicked,0:15.71,World Position Trigger Point: (98.58, 0.18, 61.25)Sonar Scanner: 2
Sonar Pulse Triggered,0:17.19,World Position Trigger Point: (98.57, 0.39, 58.40)Sonar Pulse: 3
Sonar Scanner Clicked,0:17.26,World Position Trigger Point: (97.52, 0.18, 57.43)Sonar Scanner: 3
Player Position,0:18.05,World Position: (93.68, 0.18, 53.45)
PlayerHealth,0:18.05,50
Sonar Pulse Triggered,0:19.66,World Position Trigger Point: (91.81, 0.39, 56.49)Sonar Pulse: 4
Sonar Scanner Clicked,0:19.73,World Position Trigger Point: (90.50, 0.18, 57.41)Sonar Scanner: 4
Player Position,0:21.05,World Position: (85.76, 0.18, 56.61)
PlayerHealth,0:21.05,50
Sonar Pulse Triggered,0:21.35,World Position Trigger Point: (84.90, 0.39, 54.09)Sonar Pulse: 5
Sonar Scanner Clicked,0:21.40,World Position Trigger Point: (84.40, 0.18, 55.45)Sonar Scanner: 5
Sonar Pulse Triggered,0:23.46,World Position Trigger Point: (91.82, 0.39, 55.79)Sonar Pulse: 6
Sonar Scanner Clicked,0:23.55,World Position Trigger Point: (90.51, 0.18, 55.72)Sonar Scanner: 6
Player Position,0:24.05,World Position: (94.98, 0.18, 56.72)
PlayerHealth,0:24.05,50
Sonar Pulse Triggered,0:25.20,World Position Trigger Point: (105.49, 0.39, 52.16)Sonar Pulse: 7
Sonar Scanner Clicked,0:25.27,World Position Trigger Point: (105.20, 0.18, 50.87)Sonar Scanner: 7
Player Position,0:27.06,World Position: (106.16, 0.18, 62.04)
PlayerHealth,0:27.06,50
Player Position,0:28.40,World Position: (101.61, 0.18, 70.41)
PlayerHealth,0:28.40,50
