Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:2.99,100
Player Position,0:6.01,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.01,100
Player Position,0:9.02,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.02,100
Player Position,0:12.03,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:12.03,100
Player Position,0:15.05,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:15.05,100
Player Position,0:18.07,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:18.07,100
Player Position,0:21.10,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:21.10,100
Player Position,0:24.10,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:24.10,100
Player Position,0:27.13,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:27.13,100
Sonar Pulse Triggered,0:28.52,World Position Trigger Point: (-13.71, -1.72, -63.14)Sonar Pulse: 1
Sonar Scanner Clicked,0:28.58,World Position Trigger Point: (-13.28, -1.92, -64.52)Sonar Scanner: 1
Player Position,0:30.13,World Position: (-9.00, -1.92, -62.08)
PlayerHealth,0:30.13,100
Sonar Pulse Triggered,0:30.90,World Position Trigger Point: (-2.76, -1.72, -57.86)Sonar Pulse: 2
Sonar Pulse Triggered,0:32.94,World Position Trigger Point: (2.04, -1.72, -53.53)Sonar Pulse: 3
Sonar Scanner Clicked,0:33.02,World Position Trigger Point: (1.01, -1.92, -52.54)Sonar Scanner: 2
Player Position,0:33.14,World Position: (1.48, -1.92, -52.07)
PlayerHealth,0:33.14,100
Sonar Pulse Triggered,0:35.08,World Position Trigger Point: (13.23, -1.72, -45.01)Sonar Pulse: 4
Sonar Scanner Clicked,0:35.12,World Position Trigger Point: (12.16, -1.92, -44.06)Sonar Scanner: 3
Player Position,0:36.16,World Position: (12.21, -1.92, -44.22)
PlayerHealth,0:36.16,100
Player Position,0:39.18,World Position: (12.21, -1.92, -44.22)
PlayerHealth,0:39.18,100
Player Position,0:42.19,World Position: (12.21, -1.92, -44.22)
PlayerHealth,0:42.19,100
Sonar Pulse Triggered,0:42.31,World Position Trigger Point: (13.64, -1.72, -44.45)Sonar Pulse: 5
Sonar Scanner Clicked,0:42.33,World Position Trigger Point: (12.21, -1.92, -44.22)Sonar Scanner: 4
Player Position,0:45.21,World Position: (23.00, -2.07, -33.13)
PlayerHealth,0:45.21,100
Sonar Pulse Triggered,0:45.25,World Position Trigger Point: (24.30, -1.86, -33.76)Sonar Pulse: 6
Sonar Scanner Clicked,0:45.33,World Position Trigger Point: (23.16, -2.07, -32.97)Sonar Scanner: 5
Player Position,0:48.23,World Position: (43.13, -2.08, -24.82)
PlayerHealth,0:48.23,100
Sonar Pulse Triggered,0:50.02,World Position Trigger Point: (53.70, 0.08, -9.89)Sonar Pulse: 7
Sonar Scanner Clicked,0:50.10,World Position Trigger Point: (52.35, -0.11, -10.26)Sonar Scanner: 6
Player Position,0:51.24,World Position: (56.62, 0.51, -5.69)
PlayerHealth,0:51.24,100
Sonar Pulse Triggered,0:52.23,World Position Trigger Point: (66.28, 0.72, 6.14)Sonar Pulse: 8
Sonar Scanner Clicked,0:52.32,World Position Trigger Point: (65.31, 0.51, 5.13)Sonar Scanner: 7
Player Position,0:54.25,World Position: (54.03, 0.49, 5.55)
PlayerHealth,0:54.25,100
Sonar Pulse Triggered,0:55.62,World Position Trigger Point: (42.44, 0.72, 6.03)Sonar Pulse: 9
Sonar Scanner Clicked,0:55.66,World Position Trigger Point: (40.98, 0.51, 5.55)Sonar Scanner: 8
Player Position,0:57.26,World Position: (33.78, 0.51, 9.64)
PlayerHealth,0:57.26,100
Sonar Pulse Triggered,0:58.11,World Position Trigger Point: (34.93, 0.72, 9.06)Sonar Pulse: 10
Sonar Scanner Clicked,0:58.22,World Position Trigger Point: (33.60, 0.51, 9.64)Sonar Scanner: 9
Player Position,1:0.29,World Position: (44.05, 0.51, 24.41)
PlayerHealth,1:0.29,100
Player Position,1:3.33,World Position: (67.26, 0.51, 31.06)
PlayerHealth,1:3.33,100
Player Position,1:6.35,World Position: (77.14, 0.51, 26.93)
PlayerHealth,1:6.35,100
Sonar Pulse Triggered,1:7.71,World Position Trigger Point: (86.26, 3.89, 38.02)Sonar Pulse: 11
Sonar Scanner Clicked,1:7.75,World Position Trigger Point: (85.09, 3.68, 37.27)Sonar Scanner: 10
Player Position,1:9.37,World Position: (79.95, 3.68, 49.22)
PlayerHealth,1:9.37,100
Sonar Pulse Triggered,1:9.88,World Position Trigger Point: (85.84, 1.39, 54.31)Sonar Pulse: 12
Sonar Scanner Clicked,1:9.92,World Position Trigger Point: (84.60, 0.87, 53.88)Sonar Scanner: 11
Sonar Pulse Triggered,1:12.11,World Position Trigger Point: (88.47, 0.39, 58.71)Sonar Pulse: 13
Sonar Scanner Clicked,1:12.20,World Position Trigger Point: (86.60, 0.18, 58.34)Sonar Scanner: 12
Player Position,1:12.39,World Position: (85.08, 0.18, 59.33)
PlayerHealth,1:12.39,100
Sonar Pulse Triggered,1:14.44,World Position Trigger Point: (71.31, 0.39, 75.52)Sonar Pulse: 14
Sonar Scanner Clicked,1:14.53,World Position Trigger Point: (71.76, 0.18, 77.03)Sonar Scanner: 13
Player Position,1:15.63,World Position: (77.34, 0.18, 75.47)
PlayerHealth,1:15.63,100
Sonar Pulse Triggered,1:16.46,World Position Trigger Point: (85.87, 0.39, 73.05)Sonar Pulse: 15
Sonar Scanner Clicked,1:16.56,World Position Trigger Point: (86.18, 0.18, 71.60)Sonar Scanner: 14
Player Position,1:18.65,World Position: (81.99, 0.18, 83.92)
PlayerHealth,1:18.65,100
Sonar Pulse Triggered,1:18.82,World Position Trigger Point: (82.69, 0.39, 83.69)Sonar Pulse: 16
Sonar Scanner Clicked,1:18.91,World Position Trigger Point: (81.31, 0.18, 84.60)Sonar Scanner: 15
Sonar Pulse Triggered,1:20.67,World Position Trigger Point: (81.41, 0.39, 83.43)Sonar Pulse: 17
Sonar Scanner Clicked,1:20.76,World Position Trigger Point: (80.60, 0.18, 83.58)Sonar Scanner: 16
Player Position,1:21.66,World Position: (89.16, 0.18, 79.86)
PlayerHealth,1:21.66,100
Player Position,1:24.69,World Position: (81.34, 0.18, 72.07)
PlayerHealth,1:24.69,100
Player Position,1:27.69,World Position: (74.63, 0.56, 60.27)
PlayerHealth,1:27.69,100
Player Position,1:30.72,World Position: (75.73, 0.78, 59.17)
PlayerHealth,1:30.72,100
Player Position,1:33.72,World Position: (84.17, 0.18, 58.80)
PlayerHealth,1:33.72,100
Player Position,1:36.74,World Position: (87.23, 0.18, 58.37)
PlayerHealth,1:36.74,100
Player Position,1:39.75,World Position: (70.57, 3.68, 48.42)
PlayerHealth,1:39.75,100
Player Position,1:42.76,World Position: (71.95, 3.68, 49.68)
PlayerHealth,1:42.76,100
Player Position,1:45.76,World Position: (86.86, 0.18, 58.35)
PlayerHealth,1:45.76,100
Player Position,1:48.77,World Position: (77.87, 3.68, 45.42)
PlayerHealth,1:48.77,100
Player Position,1:51.78,World Position: (71.22, 0.51, 23.86)
PlayerHealth,1:51.78,100
Sonar Pulse Triggered,1:51.91,World Position Trigger Point: (72.59, 0.72, 23.16)Sonar Pulse: 18
Sonar Scanner Clicked,1:51.99,World Position Trigger Point: (71.27, 0.51, 22.50)Sonar Scanner: 17
Player Position,1:54.80,World Position: (68.76, 0.51, 13.74)
PlayerHealth,1:54.80,100
Player Position,1:57.82,World Position: (78.38, 0.51, 26.94)
PlayerHealth,1:57.82,100
Player Position,2:0.83,World Position: (63.81, 0.51, 11.05)
PlayerHealth,2:0.83,100
Player Position,2:3.84,World Position: (70.58, 0.51, 16.59)
PlayerHealth,2:3.84,100
Player Position,2:6.86,World Position: (82.20, 3.58, 35.49)
PlayerHealth,2:6.86,100
Player Position,2:9.89,World Position: (82.20, 3.68, 42.36)
PlayerHealth,2:9.89,100
Player Position,2:12.89,World Position: (82.20, 3.68, 42.36)
PlayerHealth,2:12.89,100
Player Position,2:15.90,World Position: (82.20, 3.68, 42.36)
PlayerHealth,2:15.90,100
Player Position,2:18.92,World Position: (82.20, 3.68, 42.36)
PlayerHealth,2:18.92,100
Player Position,2:21.93,World Position: (82.20, 3.68, 42.36)
PlayerHealth,2:21.93,100
Player Position,2:24.95,World Position: (82.20, 3.68, 42.36)
PlayerHealth,2:24.95,100
Player Position,2:27.98,World Position: (82.20, 3.68, 42.36)
