Variable name,Time in Play,Data Point
Player Position,0:2.98,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:2.98,100
Player Position,0:5.99,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:5.99,100
Player Position,0:9.01,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.01,100
Player Position,0:12.01,World Position: (105.08, 0.18, 71.08)
PlayerHealth,0:12.01,100
Sonar Pulse Triggered,0:14.88,World Position Trigger Point: (101.59, 0.39, 66.25)Sonar Pulse: 1
Sonar Scanner Clicked,0:14.97,World Position Trigger Point: (100.16, 0.18, 66.45)Sonar Scanner: 1
Player Position,0:15.03,World Position: (100.16, 0.18, 66.45)
PlayerHealth,0:15.03,100
Sonar Pulse Triggered,0:16.36,World Position Trigger Point: (101.60, 0.39, 63.60)Sonar Pulse: 2
Sonar Scanner Clicked,0:16.48,World Position Trigger Point: (100.09, 0.18, 63.77)Sonar Scanner: 2
Player Position,0:18.03,World Position: (103.81, 0.18, 66.92)
PlayerHealth,0:18.03,100
Sonar Pulse Triggered,0:18.28,World Position Trigger Point: (106.17, 0.39, 66.63)Sonar Pulse: 3
Sonar Scanner Clicked,0:18.36,World Position Trigger Point: (104.87, 0.18, 66.20)Sonar Scanner: 3
Sonar Pulse Triggered,0:20.11,World Position Trigger Point: (102.29, 0.39, 70.94)Sonar Pulse: 4
Sonar Scanner Clicked,0:20.18,World Position Trigger Point: (101.11, 0.18, 70.59)Sonar Scanner: 4
Player Position,0:21.05,World Position: (104.59, 0.18, 73.28)
PlayerHealth,0:21.05,100
Sonar Pulse Triggered,0:21.57,World Position Trigger Point: (109.26, 0.39, 78.32)Sonar Pulse: 5
Sonar Scanner Clicked,0:21.65,World Position Trigger Point: (108.44, 0.18, 77.31)Sonar Scanner: 5
Sonar Pulse Triggered,0:23.18,World Position Trigger Point: (103.80, 0.39, 84.97)Sonar Pulse: 6
Sonar Scanner Clicked,0:23.25,World Position Trigger Point: (102.41, 0.18, 84.61)Sonar Scanner: 6
Player Position,0:24.06,World Position: (102.41, 0.18, 84.61)
PlayerHealth,0:24.06,100
Sonar Pulse Triggered,0:24.51,World Position Trigger Point: (103.83, 0.39, 84.88)Sonar Pulse: 7
Sonar Scanner Clicked,0:24.59,World Position Trigger Point: (102.41, 0.18, 84.61)Sonar Scanner: 7
