Variable name,Time in Play,Data Point
Player Position,0:3.00,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:3.00,100
Player Position,0:6.01,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.01,100
Player Position,0:9.02,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.02,100
Player Position,0:12.04,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:12.04,100
Player Position,0:15.05,World Position: (-11.81, -1.92, -65.79)
PlayerHealth,0:15.05,100
Sonar Pulse Triggered,0:16.50,World Position Trigger Point: (-1.96, -1.72, -57.99)Sonar Pulse: 1
Sonar Scanner Clicked,0:16.55,World Position Trigger Point: (-2.91, -1.92, -56.90)Sonar Scanner: 1
Player Position,0:18.05,World Position: (7.28, -1.92, -46.71)
PlayerHealth,0:18.05,100
Sonar Pulse Triggered,0:20.63,World Position Trigger Point: (23.41, -1.86, -33.27)Sonar Pulse: 2
Sonar Scanner Clicked,0:20.69,World Position Trigger Point: (22.12, -2.07, -32.79)Sonar Scanner: 2
Player Position,0:21.05,World Position: (24.03, -2.07, -30.87)
PlayerHealth,0:21.05,100
Player Position,0:24.06,World Position: (44.96, -2.07, -25.45)
PlayerHealth,0:24.06,100
Player Position,0:27.08,World Position: (64.33, 0.51, 4.56)
PlayerHealth,0:27.08,100
Player Position,0:30.10,World Position: (63.53, 0.51, 14.68)
PlayerHealth,0:30.10,100
Sonar Pulse Triggered,0:32.71,World Position Trigger Point: (75.68, 0.72, 24.48)Sonar Pulse: 3
Sonar Scanner Clicked,0:32.78,World Position Trigger Point: (74.42, 0.51, 23.76)Sonar Scanner: 3
Player Position,0:33.11,World Position: (74.42, 0.51, 23.76)
PlayerHealth,0:33.11,100
Sonar Pulse Triggered,0:34.49,World Position Trigger Point: (79.06, 0.65, 28.19)Sonar Pulse: 4
Sonar Scanner Clicked,0:34.58,World Position Trigger Point: (78.43, 0.51, 27.58)Sonar Scanner: 4
Player Position,0:36.23,World Position: (84.96, 3.68, 46.95)
PlayerHealth,0:36.23,100
Player Position,0:39.26,World Position: (107.89, 0.18, 76.37)
PlayerHealth,0:39.26,100
Sonar Pulse Triggered,0:39.98,World Position Trigger Point: (103.46, 0.39, 85.41)Sonar Pulse: 5
Sonar Scanner Clicked,0:40.07,World Position Trigger Point: (101.78, 0.18, 85.13)Sonar Scanner: 5
Player Position,0:42.27,World Position: (88.27, 0.66, 110.78)
PlayerHealth,0:42.27,100
Sonar Pulse Triggered,0:42.96,World Position Trigger Point: (93.71, 4.21, 117.28)Sonar Pulse: 6
Sonar Scanner Clicked,0:43.04,World Position Trigger Point: (93.03, 4.01, 116.57)Sonar Scanner: 6
Player Position,0:44.77,World Position: (90.16, 4.01, 135.94)
PlayerHealth,0:44.77,100
