Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:2.99,100
Player Position,0:6.01,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:6.01,100
Player Position,0:9.28,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.28,100
Player Position,0:12.33,World Position: (105.08, 0.18, 71.08)
PlayerHealth,0:12.33,100
Player Position,0:15.51,World Position: (101.08, 0.18, 63.85)
PlayerHealth,0:15.51,50
Player Position,0:18.52,World Position: (89.17, 0.18, 58.16)
PlayerHealth,0:18.52,50
Sonar Pulse Triggered,0:18.92,World Position Trigger Point: (90.56, 0.39, 58.56)Sonar Pulse: 1
Sonar Scanner Clicked,0:18.95,World Position Trigger Point: (89.17, 0.18, 58.16)Sonar Scanner: 1
Sonar Pulse Triggered,0:20.75,World Position Trigger Point: (92.97, 0.39, 58.11)Sonar Pulse: 2
Sonar Scanner Clicked,0:20.81,World Position Trigger Point: (91.77, 0.18, 57.56)Sonar Scanner: 2
Player Position,0:21.53,World Position: (94.64, 0.18, 57.56)
PlayerHealth,0:21.53,50
Sonar Pulse Triggered,0:22.28,World Position Trigger Point: (97.97, 0.39, 59.40)Sonar Pulse: 3
Sonar Scanner Clicked,0:22.34,World Position Trigger Point: (96.64, 0.18, 58.85)Sonar Scanner: 3
Sonar Pulse Triggered,0:23.93,World Position Trigger Point: (105.00, 0.39, 65.35)Sonar Pulse: 4
Sonar Scanner Clicked,0:23.99,World Position Trigger Point: (103.98, 0.18, 64.49)Sonar Scanner: 4
Player Position,0:24.58,World Position: (106.33, 0.18, 64.49)
PlayerHealth,0:24.58,50
Sonar Pulse Triggered,0:27.06,World Position Trigger Point: (108.08, 0.39, 75.20)Sonar Pulse: 5
Sonar Scanner Clicked,0:27.13,World Position Trigger Point: (108.02, 0.18, 73.76)Sonar Scanner: 5
Player Position,0:27.61,World Position: (108.02, 0.18, 73.76)
PlayerHealth,0:27.61,50
Sonar Pulse Triggered,0:28.54,World Position Trigger Point: (102.96, 0.39, 68.63)Sonar Pulse: 6
Sonar Scanner Clicked,0:28.60,World Position Trigger Point: (101.19, 0.18, 67.71)Sonar Scanner: 6
Sonar Pulse Triggered,0:30.08,World Position Trigger Point: (96.18, 0.39, 58.60)Sonar Pulse: 7
Sonar Scanner Clicked,0:30.14,World Position Trigger Point: (94.77, 0.18, 58.42)Sonar Scanner: 7
Player Position,0:30.63,World Position: (96.31, 0.18, 60.79)
PlayerHealth,0:30.63,50
Sonar Pulse Triggered,0:31.75,World Position Trigger Point: (102.77, 0.39, 64.33)Sonar Pulse: 8
Sonar Scanner Clicked,0:31.82,World Position Trigger Point: (101.64, 0.18, 63.66)Sonar Scanner: 8
Sonar Pulse Triggered,0:33.58,World Position Trigger Point: (104.54, 0.39, 65.06)Sonar Pulse: 9
Player Position,0:33.64,World Position: (103.33, 0.18, 64.11)
PlayerHealth,0:33.64,50
Sonar Scanner Clicked,0:33.68,World Position Trigger Point: (103.29, 0.18, 64.07)Sonar Scanner: 9
Sonar Pulse Triggered,0:35.30,World Position Trigger Point: (99.70, 0.39, 61.81)Sonar Pulse: 10
Sonar Scanner Clicked,0:35.36,World Position Trigger Point: (98.33, 0.18, 61.48)Sonar Scanner: 10
Player Position,0:36.69,World Position: (102.28, 0.18, 61.72)
PlayerHealth,0:36.69,50
Sonar Pulse Triggered,0:38.05,World Position Trigger Point: (96.30, 0.39, 59.77)Sonar Pulse: 11
Sonar Scanner Clicked,0:38.11,World Position Trigger Point: (94.91, 0.18, 58.89)Sonar Scanner: 11
Sonar Pulse Triggered,0:39.69,World Position Trigger Point: (87.05, 0.39, 59.53)Sonar Pulse: 12
Player Position,0:39.69,World Position: (85.66, 0.18, 58.88)
PlayerHealth,0:39.69,50
Sonar Scanner Clicked,0:39.75,World Position Trigger Point: (85.45, 0.18, 59.09)Sonar Scanner: 12
Sonar Pulse Triggered,0:41.64,World Position Trigger Point: (72.17, 0.39, 67.87)Sonar Pulse: 13
Sonar Scanner Clicked,0:41.78,World Position Trigger Point: (70.95, 0.18, 67.34)Sonar Scanner: 13
Player Position,0:42.75,World Position: (70.17, 0.18, 71.25)
PlayerHealth,0:42.75,50
Sonar Pulse Triggered,0:44.28,World Position Trigger Point: (71.81, 0.39, 68.37)Sonar Pulse: 14
Sonar Scanner Clicked,0:44.35,World Position Trigger Point: (70.54, 0.18, 68.07)Sonar Scanner: 14
Player Position,0:45.80,World Position: (77.21, 0.72, 58.38)
PlayerHealth,0:45.80,50
Sonar Pulse Triggered,0:46.48,World Position Trigger Point: (78.26, 2.84, 55.01)Sonar Pulse: 15
Sonar Scanner Clicked,0:46.48,World Position Trigger Point: (76.90, 2.65, 54.73)Sonar Scanner: 15
Player Position,0:48.81,World Position: (84.21, 0.18, 55.82)
PlayerHealth,0:48.81,50
Sonar Pulse Triggered,0:49.52,World Position Trigger Point: (90.61, 0.39, 60.11)Sonar Pulse: 16
Sonar Pulse Triggered,0:51.90,World Position Trigger Point: (93.91, 0.39, 58.58)Sonar Pulse: 17
Player Position,0:51.90,World Position: (93.62, 0.18, 57.71)
PlayerHealth,0:51.90,50
Player Position,0:53.60,World Position: (95.77, 0.18, 57.88)
PlayerHealth,0:53.60,0
