Variable name,Time in Play,Data Point
Player Position,0:3.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:3.00,100
Player Position,0:6.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:6.00,100
Player Position,0:9.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.00,100
Player Position,0:12.00,World Position: (105.08, 0.18, 71.08)
PlayerHealth,0:12.00,100
Player Position,0:15.02,World Position: (108.20, 0.18, 74.88)
PlayerHealth,0:15.02,100
Sonar Pulse Triggered,0:15.65,World Position Trigger Point: (109.19, 0.39, 76.32)Sonar Pulse: 1
Sonar Scanner Clicked,0:15.70,World Position Trigger Point: (109.22, 0.18, 74.87)Sonar Scanner: 1
Sonar Pulse Triggered,0:18.01,World Position Trigger Point: (106.32, 0.39, 73.20)Sonar Pulse: 2
Player Position,0:18.03,World Position: (105.99, 0.18, 71.87)
PlayerHealth,0:18.03,100
Sonar Scanner Clicked,0:18.05,World Position Trigger Point: (106.02, 0.18, 71.91)Sonar Scanner: 2
Sonar Pulse Triggered,0:19.72,World Position Trigger Point: (115.34, 0.39, 70.92)Sonar Pulse: 3
Sonar Scanner Clicked,0:19.80,World Position Trigger Point: (115.13, 0.18, 69.65)Sonar Scanner: 3
Player Position,0:21.03,World Position: (110.80, 0.18, 82.31)
PlayerHealth,0:21.03,100
Sonar Pulse Triggered,0:21.28,World Position Trigger Point: (109.99, 0.39, 84.97)Sonar Pulse: 4
Sonar Scanner Clicked,0:21.35,World Position Trigger Point: (109.39, 0.18, 83.73)Sonar Scanner: 4
Player Position,0:24.03,World Position: (100.65, 0.18, 92.06)
PlayerHealth,0:24.03,100
Sonar Pulse Triggered,0:24.79,World Position Trigger Point: (109.13, 0.39, 91.82)Sonar Pulse: 5
Sonar Scanner Clicked,0:24.90,World Position Trigger Point: (107.86, 0.18, 92.06)Sonar Scanner: 5
Sonar Pulse Triggered,0:26.84,World Position Trigger Point: (113.99, 0.39, 88.60)Sonar Pulse: 6
Player Position,0:27.06,World Position: (112.98, 0.18, 86.50)
PlayerHealth,0:27.06,100
Sonar Pulse Triggered,0:28.22,World Position Trigger Point: (113.23, 0.39, 80.03)Sonar Pulse: 7
Sonar Scanner Clicked,0:28.27,World Position Trigger Point: (111.85, 0.18, 79.58)Sonar Scanner: 6
Sonar Pulse Triggered,0:29.94,World Position Trigger Point: (111.29, 0.39, 81.77)Sonar Pulse: 8
Sonar Scanner Clicked,0:30.02,World Position Trigger Point: (110.03, 0.18, 81.51)Sonar Scanner: 7
Player Position,0:30.08,World Position: (110.27, 0.18, 81.75)
PlayerHealth,0:30.08,100
Player Position,0:33.09,World Position: (109.50, 0.18, 80.77)
PlayerHealth,0:33.09,100
Player Position,0:34.41,World Position: (104.27, 0.18, 71.87)
PlayerHealth,0:34.41,100
