Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:2.99,100
Player Position,0:6.00,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.00,100
Player Position,0:9.01,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.01,100
Player Position,0:12.02,World Position: (-13.32, -1.92, -64.74)
PlayerHealth,0:12.02,100
Player Position,0:15.03,World Position: (10.84, -1.92, -47.36)
PlayerHealth,0:15.03,100
Player Position,0:18.12,World Position: (30.28, -2.07, -26.72)
PlayerHealth,0:18.12,100
Player Position,0:21.14,World Position: (48.29, -1.96, -21.45)
PlayerHealth,0:21.14,100
Player Position,0:24.14,World Position: (69.50, 0.51, 12.39)
PlayerHealth,0:24.14,100
Player Position,0:27.14,World Position: (78.41, 0.51, 22.75)
PlayerHealth,0:27.14,100
Player Position,0:30.16,World Position: (80.76, 3.68, 40.32)
PlayerHealth,0:30.16,100
Sonar Pulse Triggered,0:31.35,World Position Trigger Point: (79.06, 2.80, 53.88)Sonar Pulse: 1
Sonar Scanner Clicked,0:31.44,World Position Trigger Point: (77.53, 2.55, 54.57)Sonar Scanner: 1
Player Position,0:33.17,World Position: (74.91, 0.90, 59.42)
PlayerHealth,0:33.17,100
Sonar Pulse Triggered,0:34.05,World Position Trigger Point: (76.56, 0.39, 64.48)Sonar Pulse: 2
Sonar Scanner Clicked,0:34.11,World Position Trigger Point: (74.82, 0.18, 64.56)Sonar Scanner: 2
Sonar Pulse Triggered,0:35.55,World Position Trigger Point: (76.46, 0.39, 75.54)Sonar Pulse: 3
Sonar Scanner Clicked,0:35.60,World Position Trigger Point: (75.11, 0.18, 75.72)Sonar Scanner: 3
Player Position,0:36.18,World Position: (77.44, 0.18, 74.00)
PlayerHealth,0:36.18,100
Sonar Pulse Triggered,0:37.05,World Position Trigger Point: (85.83, 0.39, 73.31)Sonar Pulse: 4
Sonar Scanner Clicked,0:37.12,World Position Trigger Point: (84.58, 0.18, 72.89)Sonar Scanner: 4
Player Position,0:39.20,World Position: (80.12, 0.18, 72.85)
PlayerHealth,0:39.20,100
Sonar Pulse Triggered,0:40.20,World Position Trigger Point: (80.22, 0.39, 72.59)Sonar Pulse: 5
Sonar Scanner Clicked,0:40.27,World Position Trigger Point: (79.34, 0.18, 73.74)Sonar Scanner: 5
Player Position,0:42.21,World Position: (78.85, 0.18, 74.37)
PlayerHealth,0:42.21,100
Player Position,0:44.71,World Position: (78.85, 0.18, 74.37)
PlayerHealth,0:44.71,0
