Variable name,Time in Play,Data Point
Player Position,0:3.00,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:3.00,100
Player Position,0:6.03,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.03,100
Player Position,0:9.04,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.04,100
Player Position,0:12.05,World Position: (-13.27, -1.88, -66.20)
PlayerHealth,0:12.05,100
Player Position,0:15.06,World Position: (-13.27, -1.88, -66.20)
PlayerHealth,0:15.06,100
Player Position,0:18.07,World Position: (-0.34, -1.92, -53.25)
PlayerHealth,0:18.07,100
Sonar Pulse Triggered,0:20.49,World Position Trigger Point: (4.73, -1.72, -52.81)Sonar Pulse: 1
Sonar Scanner Clicked,0:20.53,World Position Trigger Point: (3.58, -1.92, -51.93)Sonar Scanner: 1
Player Position,0:21.07,World Position: (3.58, -1.92, -51.93)
PlayerHealth,0:21.07,100
Player Position,0:24.08,World Position: (28.07, -2.07, -29.13)
PlayerHealth,0:24.08,100
Player Position,0:27.09,World Position: (51.00, -0.63, -12.80)
PlayerHealth,0:27.09,100
Player Position,0:30.10,World Position: (62.91, 0.51, 6.81)
PlayerHealth,0:30.10,100
Sonar Pulse Triggered,0:32.15,World Position Trigger Point: (67.50, 0.72, 10.22)Sonar Pulse: 2
Sonar Scanner Clicked,0:32.19,World Position Trigger Point: (66.21, 0.51, 10.87)Sonar Scanner: 2
Player Position,0:33.13,World Position: (66.21, 0.51, 10.87)
PlayerHealth,0:33.13,100
Player Position,0:36.14,World Position: (66.13, 0.51, 4.08)
PlayerHealth,0:36.14,100
Sonar Pulse Triggered,0:37.59,World Position Trigger Point: (66.66, 0.72, 2.43)Sonar Pulse: 3
Sonar Scanner Clicked,0:37.66,World Position Trigger Point: (65.37, 0.51, 3.08)Sonar Scanner: 3
Player Position,0:39.15,World Position: (65.37, 0.51, 3.08)
PlayerHealth,0:39.15,100
Player Position,0:42.17,World Position: (57.81, 0.51, 5.18)
PlayerHealth,0:42.17,100
Sonar Pulse Triggered,0:42.51,World Position Trigger Point: (59.08, 0.72, 4.50)Sonar Pulse: 4
Sonar Scanner Clicked,0:42.57,World Position Trigger Point: (57.81, 0.51, 5.18)Sonar Scanner: 4
Player Position,0:45.20,World Position: (52.19, 0.51, -0.69)
PlayerHealth,0:45.20,100
Sonar Pulse Triggered,0:46.00,World Position Trigger Point: (54.84, 0.72, -0.12)Sonar Pulse: 5
Sonar Pulse Triggered,0:47.66,World Position Trigger Point: (54.85, 0.72, -0.10)Sonar Pulse: 6
Sonar Scanner Clicked,0:47.73,World Position Trigger Point: (53.56, 0.51, 0.54)Sonar Scanner: 5
Player Position,0:48.22,World Position: (53.56, 0.51, 0.54)
PlayerHealth,0:48.22,100
Player Position,0:51.22,World Position: (54.99, 0.51, 0.54)
PlayerHealth,0:51.22,100
Player Position,0:54.25,World Position: (54.99, 0.51, 0.54)
PlayerHealth,0:54.25,100
Sonar Pulse Triggered,0:57.04,World Position Trigger Point: (56.28, 0.72, -0.10)Sonar Pulse: 7
Sonar Scanner Clicked,0:57.10,World Position Trigger Point: (54.99, 0.51, 0.54)Sonar Scanner: 6
Player Position,0:57.26,World Position: (54.99, 0.51, 0.54)
PlayerHealth,0:57.26,100
Sonar Pulse Triggered,0:59.60,World Position Trigger Point: (56.28, 0.72, -0.10)Sonar Pulse: 8
Sonar Scanner Clicked,0:59.66,World Position Trigger Point: (54.99, 0.51, 0.54)Sonar Scanner: 7
Player Position,1:0.30,World Position: (54.99, 0.51, 0.54)
PlayerHealth,1:0.30,100
Player Position,1:3.30,World Position: (54.99, 0.51, 0.54)
PlayerHealth,1:3.30,100
Player Position,1:6.32,World Position: (59.50, 0.51, -3.06)
PlayerHealth,1:6.32,100
Player Position,1:9.35,World Position: (50.66, 0.51, -0.34)
PlayerHealth,1:9.35,100
Sonar Pulse Triggered,1:9.87,World Position Trigger Point: (51.95, 0.72, -0.99)Sonar Pulse: 9
Sonar Scanner Clicked,1:9.90,World Position Trigger Point: (50.66, 0.51, -0.34)Sonar Scanner: 8
