Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (105.72, -0.12, 72.64)
PlayerHealth,0:2.99,100
Player Position,0:6.00,World Position: (105.72, -0.12, 72.64)
PlayerHealth,0:6.00,100
Player Position,0:9.01,World Position: (105.72, -0.12, 72.64)
PlayerHealth,0:9.01,100
Player Position,0:12.01,World Position: (106.37, 0.18, 71.06)
PlayerHealth,0:12.01,100
Sonar Pulse Triggered,0:14.37,World Position Trigger Point: (105.53, 0.39, 69.15)Sonar Pulse: 1
Sonar Scanner Clicked,0:14.45,World Position Trigger Point: (104.16, 0.18, 68.69)Sonar Scanner: 1
Player Position,0:15.02,World Position: (104.63, 0.18, 68.30)
PlayerHealth,0:15.02,100
Sonar Pulse Triggered,0:16.04,World Position Trigger Point: (108.15, 0.39, 72.11)Sonar Pulse: 2
Sonar Scanner Clicked,0:16.13,World Position Trigger Point: (107.10, 0.18, 71.30)Sonar Scanner: 2
Sonar Pulse Triggered,0:17.78,World Position Trigger Point: (112.55, 0.39, 71.36)Sonar Pulse: 3
Sonar Scanner Clicked,0:17.84,World Position Trigger Point: (111.61, 0.18, 70.26)Sonar Scanner: 3
Player Position,0:18.03,World Position: (112.36, 0.18, 69.87)
PlayerHealth,0:18.03,100
Sonar Pulse Triggered,0:19.85,World Position Trigger Point: (113.12, 0.39, 84.42)Sonar Pulse: 4
Sonar Scanner Clicked,0:19.93,World Position Trigger Point: (112.24, 0.18, 83.41)Sonar Scanner: 4
Player Position,0:21.04,World Position: (112.67, 0.18, 87.88)
PlayerHealth,0:21.04,100
Sonar Pulse Triggered,0:22.90,World Position Trigger Point: (106.72, 0.39, 85.80)Sonar Pulse: 5
Sonar Scanner Clicked,0:22.99,World Position Trigger Point: (105.22, 0.18, 86.14)Sonar Scanner: 5
Player Position,0:24.05,World Position: (104.04, 0.18, 85.60)
PlayerHealth,0:24.05,100
Sonar Pulse Triggered,0:25.41,World Position Trigger Point: (89.34, 0.39, 101.79)Sonar Pulse: 6
Sonar Scanner Clicked,0:25.46,World Position Trigger Point: (90.30, 0.18, 101.12)Sonar Scanner: 6
Player Position,0:27.05,World Position: (88.86, 0.18, 97.48)
PlayerHealth,0:27.05,100
Player Position,0:27.53,World Position: (88.86, 0.18, 97.48)
PlayerHealth,0:27.53,100
