Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (-16.74, 0.00, -66.71)
PlayerHealth,0:2.99,100
Player Position,0:6.01,World Position: (-16.74, 0.00, -66.71)
PlayerHealth,0:6.01,100
Player Position,0:9.02,World Position: (-16.74, 0.00, -66.71)
PlayerHealth,0:9.02,100
Player Position,0:12.04,World Position: (-16.74, -1.36, -66.71)
PlayerHealth,0:12.04,100
Player Position,0:15.05,World Position: (-10.62, -1.92, -65.98)
PlayerHealth,0:15.05,100
Player Position,0:18.09,World Position: (17.20, -2.06, -43.35)
PlayerHealth,0:18.09,100
Player Position,0:21.11,World Position: (38.55, -2.08, -21.55)
PlayerHealth,0:21.11,100
Player Position,0:24.14,World Position: (40.79, -2.08, -23.67)
PlayerHealth,0:24.14,100
Player Position,0:27.17,World Position: (62.83, 0.51, -2.79)
PlayerHealth,0:27.17,100
Player Position,0:30.21,World Position: (74.03, 0.51, 24.36)
PlayerHealth,0:30.21,100
Player Position,0:33.23,World Position: (76.33, 0.51, 25.52)
PlayerHealth,0:33.23,100
Player Position,0:36.28,World Position: (81.11, 3.68, 49.18)
PlayerHealth,0:36.28,100
Player Position,0:39.29,World Position: (96.35, 0.18, 59.69)
PlayerHealth,0:39.29,100
Sonar Pulse Triggered,0:40.03,World Position Trigger Point: (98.44, 0.39, 60.53)Sonar Pulse: 1
Sonar Scanner Clicked,0:40.09,World Position Trigger Point: (97.26, 0.18, 59.69)Sonar Scanner: 1
Player Position,0:42.31,World Position: (98.50, 0.18, 61.54)
PlayerHealth,0:42.31,100
Sonar Pulse Triggered,0:42.36,World Position Trigger Point: (99.67, 0.39, 62.38)Sonar Pulse: 2
Sonar Scanner Clicked,0:42.48,World Position Trigger Point: (98.50, 0.18, 61.54)Sonar Scanner: 2
Sonar Pulse Triggered,0:44.40,World Position Trigger Point: (100.66, 0.39, 63.59)Sonar Pulse: 3
Sonar Scanner Clicked,0:44.53,World Position Trigger Point: (99.57, 0.18, 62.64)Sonar Scanner: 3
Player Position,0:45.35,World Position: (99.57, 0.18, 62.64)
PlayerHealth,0:45.35,100
Sonar Pulse Triggered,0:46.33,World Position Trigger Point: (101.40, 0.39, 64.33)Sonar Pulse: 4
Sonar Scanner Clicked,0:46.45,World Position Trigger Point: (100.31, 0.18, 63.39)Sonar Scanner: 4
Player Position,0:48.38,World Position: (102.00, 0.18, 66.91)
PlayerHealth,0:48.38,100
Sonar Pulse Triggered,0:49.49,World Position Trigger Point: (106.41, 0.39, 71.29)Sonar Pulse: 5
Sonar Scanner Clicked,0:49.62,World Position Trigger Point: (105.37, 0.18, 70.29)Sonar Scanner: 5
Sonar Pulse Triggered,0:51.24,World Position Trigger Point: (105.13, 0.39, 69.77)Sonar Pulse: 6
Player Position,0:51.41,World Position: (103.98, 0.18, 68.90)
PlayerHealth,0:51.41,100
Sonar Pulse Triggered,0:52.23,World Position Trigger Point: (105.10, 0.39, 69.81)Sonar Pulse: 7
Sonar Scanner Clicked,0:52.36,World Position Trigger Point: (103.98, 0.18, 68.90)Sonar Scanner: 6
Sonar Pulse Triggered,0:54.13,World Position Trigger Point: (105.10, 0.39, 69.81)Sonar Pulse: 8
Player Position,0:54.42,World Position: (103.52, 0.18, 68.38)
PlayerHealth,0:54.42,100
Sonar Pulse Triggered,0:55.44,World Position Trigger Point: (100.80, 0.39, 65.29)Sonar Pulse: 9
Sonar Scanner Clicked,0:55.57,World Position Trigger Point: (99.41, 0.18, 64.27)Sonar Scanner: 7
Player Position,0:57.43,World Position: (96.85, 0.18, 61.75)
PlayerHealth,0:57.43,100
Sonar Pulse Triggered,0:58.24,World Position Trigger Point: (97.13, 0.39, 60.69)Sonar Pulse: 10
Sonar Pulse Triggered,0:58.97,World Position Trigger Point: (97.10, 0.39, 60.72)Sonar Pulse: 11
Sonar Pulse Triggered,0:59.69,World Position Trigger Point: (97.10, 0.39, 60.73)Sonar Pulse: 12
Sonar Scanner Clicked,0:59.82,World Position Trigger Point: (95.98, 0.18, 59.82)Sonar Scanner: 8
Player Position,1:0.45,World Position: (95.98, 0.18, 59.82)
PlayerHealth,1:0.45,100
Player Position,1:3.49,World Position: (104.67, 0.18, 81.99)
PlayerHealth,1:3.49,100
Sonar Pulse Triggered,1:3.63,World Position Trigger Point: (103.23, 0.39, 82.35)Sonar Pulse: 13
Sonar Scanner Clicked,1:3.71,World Position Trigger Point: (104.67, 0.18, 82.49)Sonar Scanner: 9
Sonar Pulse Triggered,1:5.97,World Position Trigger Point: (105.08, 0.39, 76.76)Sonar Pulse: 14
Sonar Scanner Clicked,1:6.10,World Position Trigger Point: (106.40, 0.18, 77.15)Sonar Scanner: 10
Player Position,1:6.53,World Position: (106.40, 0.18, 75.42)
PlayerHealth,1:6.53,100
Sonar Pulse Triggered,1:8.85,World Position Trigger Point: (103.79, 0.39, 68.51)Sonar Pulse: 15
Sonar Pulse Triggered,1:9.48,World Position Trigger Point: (103.78, 0.39, 68.52)Sonar Pulse: 16
Player Position,1:9.56,World Position: (105.05, 0.18, 69.20)
PlayerHealth,1:9.56,100
Sonar Pulse Triggered,1:10.03,World Position Trigger Point: (103.78, 0.39, 68.53)Sonar Pulse: 17
Sonar Scanner Clicked,1:10.11,World Position Trigger Point: (105.05, 0.18, 69.20)Sonar Scanner: 11
Player Position,1:12.57,World Position: (98.58, 0.18, 62.07)
PlayerHealth,1:12.57,100
Player Position,1:15.57,World Position: (101.81, 0.18, 55.57)
PlayerHealth,1:15.57,100
Sonar Pulse Triggered,1:16.35,World Position Trigger Point: (98.29, 0.39, 58.21)Sonar Pulse: 18
Sonar Scanner Clicked,1:16.43,World Position Trigger Point: (96.89, 0.18, 57.86)Sonar Scanner: 12
Player Position,1:18.61,World Position: (97.69, 0.18, 57.86)
PlayerHealth,1:18.61,100
Sonar Pulse Triggered,1:18.73,World Position Trigger Point: (99.02, 0.39, 58.42)Sonar Pulse: 19
Sonar Scanner Clicked,1:18.86,World Position Trigger Point: (97.69, 0.18, 57.86)Sonar Scanner: 13
Player Position,1:21.65,World Position: (97.69, 0.18, 57.86)
PlayerHealth,1:21.65,100
Sonar Pulse Triggered,1:22.46,World Position Trigger Point: (99.03, 0.39, 58.39)Sonar Pulse: 20
Sonar Scanner Clicked,1:22.58,World Position Trigger Point: (97.69, 0.18, 57.86)Sonar Scanner: 14
Player Position,1:24.68,World Position: (97.85, 0.18, 58.38)
PlayerHealth,1:24.68,100
Sonar Pulse Triggered,1:24.76,World Position Trigger Point: (99.19, 0.39, 58.91)Sonar Pulse: 21
Sonar Scanner Clicked,1:24.89,World Position Trigger Point: (97.85, 0.18, 58.38)Sonar Scanner: 15
Sonar Pulse Triggered,1:27.16,World Position Trigger Point: (99.37, 0.39, 58.90)Sonar Pulse: 22
Player Position,1:27.70,World Position: (98.02, 0.18, 58.38)
PlayerHealth,1:27.70,100
Sonar Pulse Triggered,1:27.91,World Position Trigger Point: (99.36, 0.39, 58.91)Sonar Pulse: 23
Sonar Scanner Clicked,1:28.04,World Position Trigger Point: (98.02, 0.18, 58.38)Sonar Scanner: 16
Player Position,1:30.72,World Position: (98.02, 0.18, 58.92)
PlayerHealth,1:30.72,100
Sonar Pulse Triggered,1:31.39,World Position Trigger Point: (99.37, 0.39, 59.97)Sonar Pulse: 24
Player Position,1:33.73,World Position: (98.02, 0.18, 59.44)
PlayerHealth,1:33.73,100
Sonar Pulse Triggered,1:34.08,World Position Trigger Point: (99.16, 0.39, 60.33)Sonar Pulse: 25
Sonar Scanner Clicked,1:34.08,World Position Trigger Point: (98.02, 0.18, 59.44)Sonar Scanner: 17
Player Position,1:36.44,World Position: (98.82, 0.18, 60.01)
PlayerHealth,1:36.44,100
