Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (61.38, 0.53, 11.31)
PlayerHealth,0:2.99,100
Player Position,0:6.01,World Position: (61.38, 0.53, 11.31)
PlayerHealth,0:6.01,100
Player Position,0:6.55,World Position: (61.38, 0.53, 11.31)
PlayerHealth,0:6.55,100
