Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:2.99,100
Player Position,0:6.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:6.00,100
Player Position,0:9.01,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.01,100
Player Position,0:12.01,World Position: (105.08, 0.18, 71.08)
PlayerHealth,0:12.01,100
Sonar Pulse Triggered,0:13.55,World Position Trigger Point: (106.76, 0.39, 74.44)Sonar Pulse: 1
Sonar Scanner Clicked,0:13.61,World Position Trigger Point: (106.59, 0.18, 73.10)Sonar Scanner: 1
Player Position,0:15.03,World Position: (109.25, 0.18, 74.21)
PlayerHealth,0:15.03,100
Sonar Pulse Triggered,0:15.79,World Position Trigger Point: (112.38, 0.39, 73.42)Sonar Pulse: 2
Sonar Scanner Clicked,0:15.88,World Position Trigger Point: (112.35, 0.18, 71.98)Sonar Scanner: 2
Player Position,0:18.04,World Position: (113.08, 0.18, 81.17)
PlayerHealth,0:18.04,100
Sonar Pulse Triggered,0:18.12,World Position Trigger Point: (113.81, 0.39, 82.54)Sonar Pulse: 3
Sonar Scanner Clicked,0:18.18,World Position Trigger Point: (112.94, 0.18, 81.49)Sonar Scanner: 3
Sonar Pulse Triggered,0:20.14,World Position Trigger Point: (110.41, 0.39, 91.13)Sonar Pulse: 4
Sonar Scanner Clicked,0:20.21,World Position Trigger Point: (108.91, 0.18, 91.40)Sonar Scanner: 4
Player Position,0:21.04,World Position: (101.45, 0.18, 83.93)
PlayerHealth,0:21.04,100
Sonar Pulse Triggered,0:21.95,World Position Trigger Point: (107.86, 0.39, 78.59)Sonar Pulse: 5
Sonar Scanner Clicked,0:22.00,World Position Trigger Point: (106.40, 0.18, 78.02)Sonar Scanner: 5
Sonar Pulse Triggered,0:23.71,World Position Trigger Point: (105.22, 0.39, 73.04)Sonar Pulse: 6
Sonar Scanner Clicked,0:23.78,World Position Trigger Point: (103.92, 0.18, 72.81)Sonar Scanner: 6
Player Position,0:24.05,World Position: (105.04, 0.18, 73.93)
PlayerHealth,0:24.05,100
Sonar Pulse Triggered,0:25.65,World Position Trigger Point: (112.84, 0.39, 84.13)Sonar Pulse: 7
Sonar Scanner Clicked,0:25.75,World Position Trigger Point: (112.49, 0.18, 82.91)Sonar Scanner: 7
Player Position,0:27.07,World Position: (111.40, 0.18, 89.67)
PlayerHealth,0:27.07,100
Sonar Pulse Triggered,0:27.54,World Position Trigger Point: (108.37, 0.39, 94.14)Sonar Pulse: 8
Sonar Scanner Clicked,0:27.62,World Position Trigger Point: (106.81, 0.18, 94.27)Sonar Scanner: 8
Player Position,0:29.53,World Position: (99.25, 0.18, 95.85)
PlayerHealth,0:29.53,100
