Variable name,Time in Play,Data Point
Player Position,0:3.00,World Position: (85.80, 0.45, 70.20)
PlayerHealth,0:3.00,100
Player Position,0:6.02,World Position: (85.80, 0.45, 70.20)
PlayerHealth,0:6.02,100
Player Position,0:9.05,World Position: (85.80, 0.45, 70.20)
PlayerHealth,0:9.05,100
Player Position,0:12.06,World Position: (85.80, 0.45, 70.20)
PlayerHealth,0:12.06,100
Player Position,0:15.09,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:15.09,100
Player Position,0:18.10,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:18.10,100
Player Position,0:21.10,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:21.10,100
Player Position,0:24.14,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:24.14,100
Player Position,0:27.18,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:27.18,100
Player Position,0:30.20,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:30.20,100
Player Position,0:33.25,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:33.25,100
Player Position,0:36.29,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:36.29,100
Player Position,0:39.31,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:39.31,100
Player Position,0:42.36,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:42.36,100
Player Position,0:45.37,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:45.37,100
Player Position,0:48.37,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:48.37,100
Player Position,0:51.40,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:51.40,100
Player Position,0:52.52,World Position: (85.80, 0.18, 70.20)
PlayerHealth,0:52.52,100
