Variable name,Time in Play,Data Point
Player Position,0:3.01,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:3.01,100
Player Position,0:6.01,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.01,100
Player Position,0:9.03,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.03,100
Player Position,0:12.04,World Position: (-16.15, -2.43, -67.26)
PlayerHealth,0:12.04,100
Player Position,0:15.04,World Position: (-12.12, -1.92, -64.03)
PlayerHealth,0:15.04,100
Player Position,0:18.05,World Position: (6.07, -1.92, -51.91)
PlayerHealth,0:18.05,100
Player Position,0:21.06,World Position: (34.71, -2.08, -24.55)
PlayerHealth,0:21.06,100
Player Position,0:24.07,World Position: (53.76, -0.63, -15.54)
PlayerHealth,0:24.07,100
Player Position,0:27.07,World Position: (71.09, 0.51, 13.98)
PlayerHealth,0:27.07,100
Player Position,0:30.08,World Position: (78.94, 0.51, 24.41)
PlayerHealth,0:30.08,100
Sonar Pulse Triggered,0:32.84,World Position Trigger Point: (82.25, 2.36, 53.92)Sonar Pulse: 1
Sonar Scanner Clicked,0:33.18,World Position Trigger Point: (80.64, 1.86, 54.17)Sonar Scanner: 1
Player Position,0:33.18,World Position: (80.64, 1.86, 54.17)
PlayerHealth,0:33.18,100
Sonar Pulse Triggered,0:35.24,World Position Trigger Point: (76.51, 0.39, 63.52)Sonar Pulse: 2
Sonar Scanner Clicked,0:35.32,World Position Trigger Point: (74.73, 0.18, 63.78)Sonar Scanner: 2
Player Position,0:36.19,World Position: (70.74, 0.18, 72.98)
PlayerHealth,0:36.19,100
Sonar Pulse Triggered,0:36.52,World Position Trigger Point: (74.74, 0.39, 74.82)Sonar Pulse: 3
Sonar Scanner Clicked,0:36.59,World Position Trigger Point: (74.16, 0.18, 76.08)Sonar Scanner: 3
Sonar Pulse Triggered,0:37.78,World Position Trigger Point: (84.65, 0.39, 70.79)Sonar Pulse: 4
Sonar Scanner Clicked,0:37.87,World Position Trigger Point: (83.36, 0.18, 71.04)Sonar Scanner: 4
Player Position,0:39.20,World Position: (88.71, 0.18, 77.03)
PlayerHealth,0:39.20,100
Sonar Pulse Triggered,0:39.74,World Position Trigger Point: (92.78, 0.39, 78.72)Sonar Pulse: 5
Sonar Scanner Clicked,0:39.82,World Position Trigger Point: (92.12, 0.18, 77.27)Sonar Scanner: 5
Player Position,0:42.21,World Position: (89.28, 0.18, 73.39)
PlayerHealth,0:42.21,100
Sonar Pulse Triggered,0:42.50,World Position Trigger Point: (89.62, 0.39, 72.75)Sonar Pulse: 6
Sonar Scanner Clicked,0:42.60,World Position Trigger Point: (88.08, 0.18, 72.19)Sonar Scanner: 6
Sonar Pulse Triggered,0:43.89,World Position Trigger Point: (86.72, 0.39, 71.66)Sonar Pulse: 7
