Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:2.99,100
Player Position,0:6.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:6.00,100
Player Position,0:9.02,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.02,100
Player Position,0:12.03,World Position: (105.08, 0.18, 71.08)
PlayerHealth,0:12.03,100
Player Position,0:15.04,World Position: (105.08, 0.18, 71.08)
PlayerHealth,0:15.04,100
Sonar Pulse Triggered,0:15.94,World Position Trigger Point: (107.67, 0.39, 70.83)Sonar Pulse: 1
Sonar Scanner Clicked,0:16.01,World Position Trigger Point: (106.24, 0.18, 70.60)Sonar Scanner: 1
Player Position,0:18.07,World Position: (104.37, 0.18, 68.41)
PlayerHealth,0:18.07,100
Sonar Pulse Triggered,0:18.41,World Position Trigger Point: (106.62, 0.39, 68.77)Sonar Pulse: 2
Sonar Scanner Clicked,0:18.48,World Position Trigger Point: (105.23, 0.18, 68.41)Sonar Scanner: 2
Sonar Pulse Triggered,0:19.83,World Position Trigger Point: (111.44, 0.39, 72.74)Sonar Pulse: 3
Sonar Scanner Clicked,0:19.93,World Position Trigger Point: (110.49, 0.18, 71.65)Sonar Scanner: 3
Player Position,0:21.08,World Position: (111.80, 0.18, 70.84)
PlayerHealth,0:21.08,100
Sonar Pulse Triggered,0:22.98,World Position Trigger Point: (113.94, 0.39, 84.99)Sonar Pulse: 4
Sonar Scanner Clicked,0:23.05,World Position Trigger Point: (113.11, 0.18, 84.00)Sonar Scanner: 4
Player Position,0:24.10,World Position: (112.71, 0.18, 88.17)
PlayerHealth,0:24.10,100
Sonar Pulse Triggered,0:24.41,World Position Trigger Point: (114.29, 0.39, 89.19)Sonar Pulse: 5
Sonar Scanner Clicked,0:24.49,World Position Trigger Point: (113.72, 0.18, 87.80)Sonar Scanner: 5
Sonar Pulse Triggered,0:25.76,World Position Trigger Point: (116.22, 0.39, 89.54)Sonar Pulse: 6
Sonar Scanner Clicked,0:25.80,World Position Trigger Point: (115.68, 0.18, 88.30)Sonar Scanner: 6
Sonar Pulse Triggered,0:27.10,World Position Trigger Point: (115.29, 0.39, 91.40)Sonar Pulse: 7
Player Position,0:27.10,World Position: (114.52, 0.18, 90.19)
PlayerHealth,0:27.10,100
Sonar Scanner Clicked,0:27.15,World Position Trigger Point: (114.46, 0.18, 90.24)Sonar Scanner: 7
Sonar Pulse Triggered,0:28.48,World Position Trigger Point: (116.13, 0.39, 90.28)Sonar Pulse: 8
Sonar Scanner Clicked,0:28.55,World Position Trigger Point: (114.96, 0.18, 89.19)Sonar Scanner: 8
Player Position,0:30.10,World Position: (115.63, 0.18, 89.30)
PlayerHealth,0:30.10,100
Player Position,0:31.78,World Position: (115.63, 0.18, 89.30)
PlayerHealth,0:31.78,100
